what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1479401469947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479401483019
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1479401487294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401487690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401542418
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401558693
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479401561868
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401562560
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479401564283
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401565540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401567765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401573840
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1479401573842
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401581353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401649821
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479401650533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479401664579
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479401665406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401665699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401667283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401668356
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401698202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401702575
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1479401702581
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401710062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479401713796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401714808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401719560
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479401724964
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479401726280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401726574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401728133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401729047
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401759082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401762790
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1479401762800
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479401769884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479401772945
