what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1474549858606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549861686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549866823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549869803
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1474549878518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549878554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1474549878561
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1474549879478
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1474549879500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549881149
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1474549886152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549902775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474549975782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474550183085
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474550188964
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474550191548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474550198633
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1474550201427
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1474550201443
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1474550201495
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1474550201498
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1474550201499
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474550222221
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1474550222222
