what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1475154851922
locale,sysinfo,,,"en_US",1475154851922
processors,sysinfo,,,"4",1475154851922
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1475154851922
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1475154851922
java.specification.name,sysinfo,,,"Java Platform API Specification",1475154851922
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1475154851922
java.specification.version,sysinfo,,,"1.6",1475154851922
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1475154851922
java.version,sysinfo,,,"1.6.0_23",1475154851922
java.vm.info,sysinfo,,,"mixed mode",1475154851922
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1475154851922
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1475154851922
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1475154851922
java.vm.specification.version,sysinfo,,,"1.0",1475154851922
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1475154851922
java.vm.version,sysinfo,,,"19.0-b09",1475154851922
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1475154852051
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1475154852075
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1475154852256
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1475154852280
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1475154852382
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1475154852577
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1475154852604
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1475154853017
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1475154853053
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1475154853128
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1475154853160
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475154853254
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1475154853949
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1475154855987
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475154859028
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475154862496
started,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1475154866496
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1475154866649
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1475154866771
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1475154866832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154868256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154884698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154888002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154900618
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1475154966032
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1475154966178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154973112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154979353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154979687
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475154979743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154979765
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475154979782
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154979797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154982905
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475154983979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1475154986454
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1475154987925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475154988196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155018468
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1475155051724
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1475155057542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155057677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155057718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155075380
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155097356
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1475155097364
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1475155636683
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1475155637867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155638137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475155656569
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1475156056428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156168913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156169622
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156204557
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156207701
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156255916
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156257338
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156270413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156271159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156275800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156276326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475156368427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475156370218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1475156371734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1475156372461
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1475156939646
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1475156950581
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1475156950581
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1475156952742
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1475156952996
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1475156953040
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1475156957152
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1475156957255
opened,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1475156957392
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.debugPerspective",1475156957406
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1475156957412
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1475156957447
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1475156959858
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1475156963607
error,log,,,"Internal Error",1475156963659
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.cPerspective",1475156965402
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1475156965406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475156972744
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475156975261
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1475156975267
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475156985775
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475156994284
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475156994366
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475156994387
error,log,,,"Internal Error",1475157004293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475157021798
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.debugPerspective",1475157021825
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1475157021830
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.cPerspective",1475157022958
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.debugPerspective",1475157031859
activated,perspective,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui.cPerspective",1475157032301
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475157036497
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475157036512
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475157036534
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1475157037465
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1475157088456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475157088742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475157104741
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1475157165250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1475157268406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475157272543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1475157282101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1475157324600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1475157325109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1475157347475
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1475157350562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475157350831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1475157368727
