what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1479398112656
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398115508
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1479398117184
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1479398118434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398119564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398119782
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479398127345
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479398127799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398128074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398129819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398134679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398134927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479398136555
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479398136983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398137248
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398137963
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398138818
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479398153430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479398157606
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1479398157609
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479398165036
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479398194622
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1479398398326
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479398405010
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479398405038
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479399016166
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479399016166
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1479399018907
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479399133703
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1479399137828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399141667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399217085
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479399218043
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1479399222732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399224585
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399263654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399278237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479399297093
