what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1477578196919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578197193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578215131
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477578222451
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477578225459
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477578231584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578260539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578261370
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1477578262048
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578285756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578286973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578289819
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578527430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477578536372
error,log,,,"Error in CDT UI during reconcile",1477578539099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477578539545
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1477578589108
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1477578589638
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1477578611533
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1477578612020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578612296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578629531
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477578881667
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477578885189
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477578891089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578908939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578910178
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477578910338
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1477578911063
