what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392224024
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392226920
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1479392230214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392235883
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479392237844
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1479392238161
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1479392238167
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1479392238167
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1479392238168
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1479392238173
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1479392238195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392247361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392248790
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1479392376706
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479392378481
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479392379076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1479392385651
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1479392390964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479392393303
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479392397624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392397903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392402656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392402783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392404481
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479392404483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392408419
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1479392415434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392418803
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1479392418806
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1479392422622
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1479392485686
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1479392487575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1479392487850
